ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
NGA,783901,Women with secondary or higher education,37,1,NG,Nigeria,2003,NG2003DHS,ED_LITR_W_SCH,231233010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWSCH,,2003,DHS,7620,7620,,,
NGA,783902,Women who can read a whole sentence,5.5,1,NG,Nigeria,2003,NG2003DHS,ED_LITR_W_RDW,231233020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWRDW,,2003,DHS,7620,7620,,,
NGA,783903,Women who can read part of a sentence,5.6,1,NG,Nigeria,2003,NG2003DHS,ED_LITR_W_RDP,231233030,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWRDP,,2003,DHS,7620,7620,,,
NGA,783900,Women who cannot read at all,50.7,1,NG,Nigeria,2003,NG2003DHS,ED_LITR_W_NRD,231233040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWNRD,,2003,DHS,7620,7620,,,
NGA,783906,Women for whom no card with required language was available,0.8,1,NG,Nigeria,2003,NG2003DHS,ED_LITR_W_NCD,231233050,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWNCD,,2003,DHS,7620,7620,,,
NGA,783907,Women with missing information on literacy,0.3,1,NG,Nigeria,2003,NG2003DHS,ED_LITR_W_MIS,231233070,S,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWMIS,,2003,DHS,7620,7620,,,
NGA,783904,Women's literacy: Total,100,1,NG,Nigeria,2003,NG2003DHS,ED_LITR_W_TOT,231233080,T,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWTOT,,2003,DHS,7620,7620,,,
NGA,783905,Women who are literate,48.2,1,NG,Nigeria,2003,NG2003DHS,ED_LITR_W_LIT,231233090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWLIT,,2003,DHS,7620,7620,,,
NGA,783825,Number of women,7620,0,NG,Nigeria,2003,NG2003DHS,ED_LITR_W_NUM,231233100,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWNUM,,2003,DHS,,7620,,,
NGA,783943,Number of women (unweighted),7620,0,NG,Nigeria,2003,NG2003DHS,ED_LITR_W_UNW,231233110,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWUNW,,2003,DHS,7620,,,,
NGA,784008,Men with secondary or higher education,56.8,1,NG,Nigeria,2003,NG2003DHS,ED_LITR_M_SCH,231234120,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMSCH,,2003,DHS,2093,2086,,,
NGA,784006,Men who can read a whole sentence,8.8,1,NG,Nigeria,2003,NG2003DHS,ED_LITR_M_RDW,231234130,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMRDW,,2003,DHS,2093,2086,,,
NGA,784009,Men who can read part of a sentence,9.4,1,NG,Nigeria,2003,NG2003DHS,ED_LITR_M_RDP,231234140,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMRDP,,2003,DHS,2093,2086,,,
NGA,784007,Men who cannot read at all,20.2,1,NG,Nigeria,2003,NG2003DHS,ED_LITR_M_NRD,231234150,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMNRD,,2003,DHS,2093,2086,,,
NGA,784002,Men for whom no card with required language was available,4.8,1,NG,Nigeria,2003,NG2003DHS,ED_LITR_M_NCD,231234160,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMNCD,,2003,DHS,2093,2086,,,
NGA,784003,Men with missing information on literacy,0,1,NG,Nigeria,2003,NG2003DHS,ED_LITR_M_MIS,231234180,S,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMMIS,,2003,DHS,2093,2086,,,
NGA,784004,Men's literacy: Total,100,1,NG,Nigeria,2003,NG2003DHS,ED_LITR_M_TOT,231234190,T,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMTOT,,2003,DHS,2093,2086,,,
NGA,784005,Men who are literate,75,1,NG,Nigeria,2003,NG2003DHS,ED_LITR_M_LIT,231234200,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMLIT,,2003,DHS,2093,2086,,,
NGA,784019,Number of men,2093,0,NG,Nigeria,2003,NG2003DHS,ED_LITR_M_NUM,231234210,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMNUM,,2003,DHS,,2086,,,
NGA,783958,Number of men (unweighted),2086,0,NG,Nigeria,2003,NG2003DHS,ED_LITR_M_UNW,231234220,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMUNW,,2003,DHS,2093,,,,
NGA,134529,Women with secondary or higher education,44.6,1,NG,Nigeria,2008,NG2008DHS,ED_LITR_W_SCH,231233010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWSCH,,2008,DHS,33385,33385,,,
NGA,134530,Women who can read a whole sentence,2.8,1,NG,Nigeria,2008,NG2008DHS,ED_LITR_W_RDW,231233020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWRDW,,2008,DHS,33385,33385,,,
NGA,134531,Women who can read part of a sentence,6.4,1,NG,Nigeria,2008,NG2008DHS,ED_LITR_W_RDP,231233030,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWRDP,,2008,DHS,33385,33385,,,
NGA,134522,Women who cannot read at all,45.3,1,NG,Nigeria,2008,NG2008DHS,ED_LITR_W_NRD,231233040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWNRD,,2008,DHS,33385,33385,,,
NGA,134524,Women for whom no card with required language was available,0.3,1,NG,Nigeria,2008,NG2008DHS,ED_LITR_W_NCD,231233050,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWNCD,,2008,DHS,33385,33385,,,
NGA,134523,Women who are blind/visually impaired,0.1,1,NG,Nigeria,2008,NG2008DHS,ED_LITR_W_BLD,231233060,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWBLD,,2008,DHS,33385,33385,,,
NGA,134525,Women with missing information on literacy,0.6,1,NG,Nigeria,2008,NG2008DHS,ED_LITR_W_MIS,231233070,S,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWMIS,,2008,DHS,33385,33385,,,
NGA,134526,Women's literacy: Total,100,1,NG,Nigeria,2008,NG2008DHS,ED_LITR_W_TOT,231233080,T,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWTOT,,2008,DHS,33385,33385,,,
NGA,134527,Women who are literate,53.7,1,NG,Nigeria,2008,NG2008DHS,ED_LITR_W_LIT,231233090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWLIT,,2008,DHS,33385,33385,,,
NGA,134528,Number of women,33385,0,NG,Nigeria,2008,NG2008DHS,ED_LITR_W_NUM,231233100,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWNUM,,2008,DHS,,33385,,,
NGA,134534,Number of women (unweighted),33385,0,NG,Nigeria,2008,NG2008DHS,ED_LITR_W_UNW,231233110,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWUNW,,2008,DHS,33385,,,,
NGA,582040,Men with secondary or higher education,61.2,1,NG,Nigeria,2008,NG2008DHS,ED_LITR_M_SCH,231234120,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMSCH,,2008,DHS,13808,13838,,,
NGA,582037,Men who can read a whole sentence,5.9,1,NG,Nigeria,2008,NG2008DHS,ED_LITR_M_RDW,231234130,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMRDW,,2008,DHS,13808,13838,,,
NGA,582041,Men who can read part of a sentence,9.7,1,NG,Nigeria,2008,NG2008DHS,ED_LITR_M_RDP,231234140,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMRDP,,2008,DHS,13808,13838,,,
NGA,582038,Men who cannot read at all,22.1,1,NG,Nigeria,2008,NG2008DHS,ED_LITR_M_NRD,231234150,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMNRD,,2008,DHS,13808,13838,,,
NGA,582042,Men for whom no card with required language was available,0.7,1,NG,Nigeria,2008,NG2008DHS,ED_LITR_M_NCD,231234160,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMNCD,,2008,DHS,13808,13838,,,
NGA,582043,Men who are blind/visually impaired,0,1,NG,Nigeria,2008,NG2008DHS,ED_LITR_M_BLD,231234170,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMBLD,,2008,DHS,13808,13838,,,
NGA,582044,Men with missing information on literacy,0.3,1,NG,Nigeria,2008,NG2008DHS,ED_LITR_M_MIS,231234180,S,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMMIS,,2008,DHS,13808,13838,,,
NGA,582045,Men's literacy: Total,100,1,NG,Nigeria,2008,NG2008DHS,ED_LITR_M_TOT,231234190,T,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMTOT,,2008,DHS,13808,13838,,,
NGA,582039,Men who are literate,76.8,1,NG,Nigeria,2008,NG2008DHS,ED_LITR_M_LIT,231234200,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMLIT,,2008,DHS,13808,13838,,,
NGA,578292,Number of men,13808,0,NG,Nigeria,2008,NG2008DHS,ED_LITR_M_NUM,231234210,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMNUM,,2008,DHS,,13838,,,
NGA,334025,Number of men (unweighted),13838,0,NG,Nigeria,2008,NG2008DHS,ED_LITR_M_UNW,231234220,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMUNW,,2008,DHS,13808,,,,
NGA,217580,Women with secondary or higher education,40.5,1,NG,Nigeria,2010,NG2010MIS,ED_LITR_W_SCH,231233010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWSCH,,2010,MIS,6344,6344,,,
NGA,217581,Women who can read a whole sentence,2.4,1,NG,Nigeria,2010,NG2010MIS,ED_LITR_W_RDW,231233020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWRDW,,2010,MIS,6344,6344,,,
NGA,217582,Women who can read part of a sentence,7.2,1,NG,Nigeria,2010,NG2010MIS,ED_LITR_W_RDP,231233030,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWRDP,,2010,MIS,6344,6344,,,
NGA,217584,Women who cannot read at all,48.4,1,NG,Nigeria,2010,NG2010MIS,ED_LITR_W_NRD,231233040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWNRD,,2010,MIS,6344,6344,,,
NGA,217578,Women for whom no card with required language was available,0,1,NG,Nigeria,2010,NG2010MIS,ED_LITR_W_NCD,231233050,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWNCD,,2010,MIS,6344,6344,,,
NGA,217585,Women who are blind/visually impaired,0,1,NG,Nigeria,2010,NG2010MIS,ED_LITR_W_BLD,231233060,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWBLD,,2010,MIS,6344,6344,,,
NGA,217579,Women with missing information on literacy,1.5,1,NG,Nigeria,2010,NG2010MIS,ED_LITR_W_MIS,231233070,S,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWMIS,,2010,MIS,6344,6344,,,
NGA,217576,Women's literacy: Total,100,1,NG,Nigeria,2010,NG2010MIS,ED_LITR_W_TOT,231233080,T,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWTOT,,2010,MIS,6344,6344,,,
NGA,217577,Women who are literate,50,1,NG,Nigeria,2010,NG2010MIS,ED_LITR_W_LIT,231233090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWLIT,,2010,MIS,6344,6344,,,
NGA,134582,Number of women,6344,0,NG,Nigeria,2010,NG2010MIS,ED_LITR_W_NUM,231233100,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWNUM,,2010,MIS,,6344,,,
NGA,217570,Number of women (unweighted),6344,0,NG,Nigeria,2010,NG2010MIS,ED_LITR_W_UNW,231233110,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWUNW,,2010,MIS,6344,,,,
NGA,607768,Women with secondary or higher education,44.9,1,NG,Nigeria,2013,NG2013DHS,ED_LITR_W_SCH,231233010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWSCH,,2013,DHS,38948,38948,,,
NGA,607769,Women who can read a whole sentence,1.8,1,NG,Nigeria,2013,NG2013DHS,ED_LITR_W_RDW,231233020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWRDW,,2013,DHS,38948,38948,,,
NGA,607770,Women who can read part of a sentence,6.3,1,NG,Nigeria,2013,NG2013DHS,ED_LITR_W_RDP,231233030,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWRDP,,2013,DHS,38948,38948,,,
NGA,607766,Women who cannot read at all,46.1,1,NG,Nigeria,2013,NG2013DHS,ED_LITR_W_NRD,231233040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWNRD,,2013,DHS,38948,38948,,,
NGA,607771,Women for whom no card with required language was available,0.3,1,NG,Nigeria,2013,NG2013DHS,ED_LITR_W_NCD,231233050,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWNCD,,2013,DHS,38948,38948,,,
NGA,607767,Women who are blind/visually impaired,0.1,1,NG,Nigeria,2013,NG2013DHS,ED_LITR_W_BLD,231233060,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWBLD,,2013,DHS,38948,38948,,,
NGA,607772,Women with missing information on literacy,0.5,1,NG,Nigeria,2013,NG2013DHS,ED_LITR_W_MIS,231233070,S,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWMIS,,2013,DHS,38948,38948,,,
NGA,607774,Women's literacy: Total,100,1,NG,Nigeria,2013,NG2013DHS,ED_LITR_W_TOT,231233080,T,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWTOT,,2013,DHS,38948,38948,,,
NGA,607775,Women who are literate,53.1,1,NG,Nigeria,2013,NG2013DHS,ED_LITR_W_LIT,231233090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWLIT,,2013,DHS,38948,38948,,,
NGA,617885,Number of women,38948,0,NG,Nigeria,2013,NG2013DHS,ED_LITR_W_NUM,231233100,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWNUM,,2013,DHS,,38948,,,
NGA,364702,Number of women (unweighted),38948,0,NG,Nigeria,2013,NG2013DHS,ED_LITR_W_UNW,231233110,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWUNW,,2013,DHS,38948,,,,
NGA,478158,Men with secondary or higher education,62,1,NG,Nigeria,2013,NG2013DHS,ED_LITR_M_SCH,231234120,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMSCH,,2013,DHS,17359,17359,,,
NGA,478156,Men who can read a whole sentence,3.3,1,NG,Nigeria,2013,NG2013DHS,ED_LITR_M_RDW,231234130,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMRDW,,2013,DHS,17359,17359,,,
NGA,478159,Men who can read part of a sentence,9.8,1,NG,Nigeria,2013,NG2013DHS,ED_LITR_M_RDP,231234140,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMRDP,,2013,DHS,17359,17359,,,
NGA,478157,Men who cannot read at all,24.2,1,NG,Nigeria,2013,NG2013DHS,ED_LITR_M_NRD,231234150,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMNRD,,2013,DHS,17359,17359,,,
NGA,478160,Men for whom no card with required language was available,0.1,1,NG,Nigeria,2013,NG2013DHS,ED_LITR_M_NCD,231234160,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMNCD,,2013,DHS,17359,17359,,,
NGA,478161,Men who are blind/visually impaired,0,1,NG,Nigeria,2013,NG2013DHS,ED_LITR_M_BLD,231234170,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMBLD,,2013,DHS,17359,17359,,,
NGA,478162,Men with missing information on literacy,0.5,1,NG,Nigeria,2013,NG2013DHS,ED_LITR_M_MIS,231234180,S,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMMIS,,2013,DHS,17359,17359,,,
