SurveyYear,Metric,Women_Value,Men_Value,Children_Value
2003,For whom no card with required language was available,0.8,4.8,
2003,Literacy: Total,100,100,
2003,Number of people,7620,2093,
2003,Number of people (unweighted),7620,2086,
2003,Who are literate,48.2,75,
2003,Who can read a whole sentence,5.5,8.8,
2003,Who can read part of a sentence,5.6,9.4,
2003,Who cannot read at all,50.7,20.2,
2003,With missing information on literacy,0.3,0,
2003,With secondary or higher education,37,56.8,
2008,For whom no card with required language was available,0.3,0.7,
2008,Literacy: Total,100,100,
2008,Number of people,33385,13808,
2008,Number of people (unweighted),33385,13838,
2008,Who are blind/visually impaired,0.1,0,
2008,Who are literate,53.7,76.8,
2008,Who can read a whole sentence,2.8,5.9,
2008,Who can read part of a sentence,6.4,9.7,
2008,Who cannot read at all,45.3,22.1,
2008,With missing information on literacy,0.6,0.3,
2008,With secondary or higher education,44.6,61.2,
2010,For whom no card with required language was available,0,,
2010,Literacy: Total,100,,
2010,Number of people,6344,,
2010,Number of people (unweighted),6344,,
2010,Who are blind/visually impaired,0,,
2010,Who are literate,50,,
2010,Who can read a whole sentence,2.4,,
2010,Who can read part of a sentence,7.2,,
2010,Who cannot read at all,48.4,,
2010,With missing information on literacy,1.5,,
2010,With secondary or higher education,40.5,,
2013,For whom no card with required language was available,0.3,0.1,
2013,Literacy: Total,100,100,
2013,Number of people,38948,17359,
2013,Number of people (unweighted),38948,17359,
2013,Who are blind/visually impaired,0.1,0,
2013,Who are literate,53.1,75.2,
2013,Who can read a whole sentence,1.8,3.3,
2013,Who can read part of a sentence,6.3,9.8,
2013,Who cannot read at all,46.1,24.2,
2013,With missing information on literacy,0.5,0.5,
2013,With secondary or higher education,44.9,62,
2015,For whom no card with required language was available,0,,
2015,Literacy: Total,100,,
2015,Number of people,8034,,
2015,Number of people (unweighted),8034,,
2015,Who are blind/visually impaired,0.1,,
2015,Who are literate,53.5,,
2015,Who can read a whole sentence,2,,
2015,Who can read part of a sentence,5.7,,
2015,Who cannot read at all,46.4,,
2015,With secondary or higher education,45.7,,
2018,For whom no card with required language was available,0,0.1,
2018,Literacy: Total,100,100,
2018,Number of people,41821,11868,
2018,Number of people (unweighted),41821,11845,
2018,Who are blind/visually impaired,0.1,0.1,
2018,Who are literate,53.1,72,
2018,Who can read a whole sentence,23.9,27.8,
2018,Who can read part of a sentence,18.1,27.1,
2018,Who cannot read at all,46.9,27.8,
2018,With secondary or higher education,11,17.1,
2021,For whom no card with required language was available,0.1,,
2021,Literacy: Total,100,,
2021,Number of people,14476,,
2021,Number of people (unweighted),14476,,
2021,Who are blind/visually impaired,0.1,,
2021,Who are literate,56.1,,
2021,Who can read a whole sentence,21.7,,
2021,Who can read part of a sentence,21.5,,
2021,Who cannot read at all,43.7,,
2021,With secondary or higher education,12.9,,
2024,For whom no card with required language was available,0,0,
2024,Literacy: Total,100,100,
2024,Number of people,39050,10927,
2024,Number of people (unweighted),39050,10876,
2024,Who are blind/visually impaired,0,0.1,
2024,Who are literate,57.2,72.4,
2024,Who can read a whole sentence,26.9,26.2,
2024,Who can read part of a sentence,16.6,25.7,
2024,Who cannot read at all,42.7,27.5,
2024,With secondary or higher education,13.7,20.5,
